weight,rate_user_num,latitude,longitude,review_count,price_level,HasTV,Caters,OutdoorSeating,WheelchairAccessible,BusinessParking,RestaurantsDelivery,GoodForKids,BikeParking,WiFi,Alcohol,RestaurantsTakeOut,BusinessAcceptsCreditCards,open_days,open_hours,num_rating,drink,food,inside,menu,outside,total,avg_review_useful,avg_review_funny,avg_review_cool,avg_stars,avg_review_count,avg_useful,avg_funny,avg_cool,avg_fans,avg_compliment_hot,avg_compliment_more,avg_compliment_profile,avg_compliment_cute,avg_compliment_list,avg_compliment_note,avg_compliment_plain,avg_compliment_cool,avg_compliment_funny,avg_compliment_writer,avg_compliment_photos,avg_total_compliment,PAYANN,PCHDAPR,PCHADVT,DENSITY_2021,POP_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min",less_100m,less_500m,less_1km,less_5km,less_10km,less_50km,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62,v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_71,v_72,v_73,v_74,v_75,v_76,v_77,v_78,v_79,v_80,v_81,v_82,v_83,v_84,v_85,v_86,v_87,v_88,v_89,v_90,v_91,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99,year,month,previous_rating,yelp_year
1.2,10,39.9105894,-75.09807737,9,1,1,-1,-1,-1,0,1,0,0,0,0,1,1,7,168,3317,0,0,0,0,0,0,0,0.1,0,1.684,11.5,3.1,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,80473,1330,578,1260.029076,9267130,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098,0,0,0,58,754,2098,0,1,1,0,1,1,0,0,1,3,2,2,2,0,3,2,0,2,1,2,2,1,0,2,0,2,0,2,3,1,2,2,1,3,0,2,3,0,2,1,2,2,0,0,0,1,0,3,3,3,1,0,1,3,2,1,1,3,0,3,3,0,2,2,0,2,2,0,2,1,0,3,2,2,2,0,0,0,3,-0.3711,0.7044,0.7785,0.5184,-0.8542,0.4744,0.8871,0.4937,0.1621,-0.9676,-0.7907,-0.7211,-0.2293,0.035,0.9013,0.7097,-0.7749,-0.7118,-0.7816,-0.9316,0.4304,0.834,0.7995,0.7656,0.4947,0.7439,0.2007,-0.5174,0.7728,-0.7943,-0.3616,0.4667,0.4513,-0.4252,-0.621,-0.9297,0.7269,0.7029,0.4524,0.1432,0.6509,-0.565,0.2662,0.6094,-0.6038,0.4159,0.7839,0.9928,0.2673,-0.509,0.3416,0.6402,0.0753,-0.5886,0.292,-0.6964,0.6262,0.5455,0.814,0.5931,-0.9518,-0.7173,0.4477,-0.8067,-0.986,0.2343,0.0236,-0.1331,-0.8782,-0.7237,0.1787,-0.8664,0.5524,0.0998,0.582,0.5062,0.6808,-0.4126,0.8815,0.6084,0.6359,-0.534,-0.3748,-0.2057,0.4875,0.2848,0.3292,0.7698,0.4278,-0.7673,-0.8224,-0.1236,0.7331,0.0791,0.7156,0.9868,-0.0935,0.9966,0.2652,0.5966,2014,4,0,1566
2.159705279,10,39.9105894,-75.09807737,9,1,1,-1,-1,-1,0,1,0,0,0,0,1,1,7,168,3317,0,0,0,0,0,0,0,0.1,0,1.684,11.5,3.1,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,80473,1330,578,1260.029076,9267130,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098,0,0,0,58,754,2098,0,1,1,0,1,1,0,0,1,3,2,2,2,0,3,2,0,2,1,2,2,1,0,2,0,2,0,2,3,1,2,2,1,3,0,2,3,0,2,1,2,2,0,0,0,1,0,3,3,3,1,0,1,3,2,1,1,3,0,3,3,0,2,2,0,2,2,0,2,1,0,3,2,2,2,0,0,0,3,-0.3711,0.7044,0.7785,0.5184,-0.8542,0.4744,0.8871,0.4937,0.1621,-0.9676,-0.7907,-0.7211,-0.2293,0.035,0.9013,0.7097,-0.7749,-0.7118,-0.7816,-0.9316,0.4304,0.834,0.7995,0.7656,0.4947,0.7439,0.2007,-0.5174,0.7728,-0.7943,-0.3616,0.4667,0.4513,-0.4252,-0.621,-0.9297,0.7269,0.7029,0.4524,0.1432,0.6509,-0.565,0.2662,0.6094,-0.6038,0.4159,0.7839,0.9928,0.2673,-0.509,0.3416,0.6402,0.0753,-0.5886,0.292,-0.6964,0.6262,0.5455,0.814,0.5931,-0.9518,-0.7173,0.4477,-0.8067,-0.986,0.2343,0.0236,-0.1331,-0.8782,-0.7237,0.1787,-0.8664,0.5524,0.0998,0.582,0.5062,0.6808,-0.4126,0.8815,0.6084,0.6359,-0.534,-0.3748,-0.2057,0.4875,0.2848,0.3292,0.7698,0.4278,-0.7673,-0.8224,-0.1236,0.7331,0.0791,0.7156,0.9868,-0.0935,0.9966,0.2652,0.5966,2011,4,1.2,1566
2.245697339,10,39.9105894,-75.09807737,9,1,1,-1,-1,-1,0,1,0,0,0,0,1,1,7,168,3317,0,0,0,0,0,0,0,0.1,0,1.684,11.5,3.1,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,80473,1330,578,1260.029076,9267130,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098,0,0,0,58,754,2098,0,1,1,0,1,1,0,0,1,3,2,2,2,0,3,2,0,2,1,2,2,1,0,2,0,2,0,2,3,1,2,2,1,3,0,2,3,0,2,1,2,2,0,0,0,1,0,3,3,3,1,0,1,3,2,1,1,3,0,3,3,0,2,2,0,2,2,0,2,1,0,3,2,2,2,0,0,0,3,-0.3711,0.7044,0.7785,0.5184,-0.8542,0.4744,0.8871,0.4937,0.1621,-0.9676,-0.7907,-0.7211,-0.2293,0.035,0.9013,0.7097,-0.7749,-0.7118,-0.7816,-0.9316,0.4304,0.834,0.7995,0.7656,0.4947,0.7439,0.2007,-0.5174,0.7728,-0.7943,-0.3616,0.4667,0.4513,-0.4252,-0.621,-0.9297,0.7269,0.7029,0.4524,0.1432,0.6509,-0.565,0.2662,0.6094,-0.6038,0.4159,0.7839,0.9928,0.2673,-0.509,0.3416,0.6402,0.0753,-0.5886,0.292,-0.6964,0.6262,0.5455,0.814,0.5931,-0.9518,-0.7173,0.4477,-0.8067,-0.986,0.2343,0.0236,-0.1331,-0.8782,-0.7237,0.1787,-0.8664,0.5524,0.0998,0.582,0.5062,0.6808,-0.4126,0.8815,0.6084,0.6359,-0.534,-0.3748,-0.2057,0.4875,0.2848,0.3292,0.7698,0.4278,-0.7673,-0.8224,-0.1236,0.7331,0.0791,0.7156,0.9868,-0.0935,0.9966,0.2652,0.5966,2017,3,2.159705279,1566
1.36,25,28.02308458,-82.45986789,21,1,1,-1,-1,-1,0,1,1,1,0,0,1,1,7,87,1391,0,0,0,0,0,0,0.16,0.16,0.04,3.1596,83.32,90.32,12.96,38.84,3.6,1.04,0.36,0.96,0,0,3.04,3.16,1.96,1.96,1.88,0.68,15.04,220625,724,760,405.9804182,21781128,8179696,1178595,1490922,1335143,1869297,1226903,529097,643953,8087696,1128931,1447062,1301207,1827117,1180663,504981,603521,0,3,4,56,278,1096,3,1,1,3,1,3,0,2,0,0,2,2,2,2,0,3,2,0,0,1,1,3,1,1,2,1,1,3,1,3,0,3,3,3,0,0,3,1,1,0,0,0,3,2,2,0,2,3,3,3,0,0,0,1,2,0,0,1,0,0,1,3,2,2,3,1,2,1,1,1,2,0,0,2,0,3,0,3,0,0.6211,-0.3696,0.7031,0.5736,0.3253,0.928,-0.2607,-0.8055,-0.5924,0.1372,-0.227,0.4624,0.5795,0.6932,-0.4706,-0.9094,0.609,-0.3356,0.5931,0.784,0.016,-0.0858,0.5516,0.8226,0.3947,-0.9558,0.2063,0.395,0.868,0.3664,0.8369,-0.6718,0.5609,-0.1047,0.2901,0.1079,-0.6403,-0.3916,0.9281,0.9647,-0.6424,0.3156,0.7026,0.9501,0.434,0.1202,-0.0942,0.4977,-0.0367,-0.0825,-0.7531,-0.7612,0.9013,0.016,0.2037,0.2356,-0.8118,0.9807,-0.951,0.5514,0.2159,0.5815,-0.6964,0.9082,-0.4132,-0.668,-0.3312,0.5436,0.1529,0.7846,0.9763,-0.2864,-0.8738,-0.0835,-0.912,-0.3738,0.99,-0.0948,-0.1792,0.4188,-0.1787,-0.7673,0.3743,-0.9773,-0.5848,-0.3062,0.2772,-0.019,-0.1021,0.7032,0.0798,0.8701,-0.2973,0.698,0.4227,-0.0664,0.3591,-0.0768,0.9421,0.6811,2015,9,0,2533
2.357628713,25,28.02308458,-82.45986789,21,1,1,-1,-1,-1,0,1,1,1,0,0,1,1,7,87,1391,0,0,0,0,0,0,0.16,0.16,0.04,3.1596,83.32,90.32,12.96,38.84,3.6,1.04,0.36,0.96,0,0,3.04,3.16,1.96,1.96,1.88,0.68,15.04,220625,724,760,405.9804182,21781128,8179696,1178595,1490922,1335143,1869297,1226903,529097,643953,8087696,1128931,1447062,1301207,1827117,1180663,504981,603521,0,3,4,56,278,1096,3,1,1,3,1,3,0,2,0,0,2,2,2,2,0,3,2,0,0,1,1,3,1,1,2,1,1,3,1,3,0,3,3,3,0,0,3,1,1,0,0,0,3,2,2,0,2,3,3,3,0,0,0,1,2,0,0,1,0,0,1,3,2,2,3,1,2,1,1,1,2,0,0,2,0,3,0,3,0,0.6211,-0.3696,0.7031,0.5736,0.3253,0.928,-0.2607,-0.8055,-0.5924,0.1372,-0.227,0.4624,0.5795,0.6932,-0.4706,-0.9094,0.609,-0.3356,0.5931,0.784,0.016,-0.0858,0.5516,0.8226,0.3947,-0.9558,0.2063,0.395,0.868,0.3664,0.8369,-0.6718,0.5609,-0.1047,0.2901,0.1079,-0.6403,-0.3916,0.9281,0.9647,-0.6424,0.3156,0.7026,0.9501,0.434,0.1202,-0.0942,0.4977,-0.0367,-0.0825,-0.7531,-0.7612,0.9013,0.016,0.2037,0.2356,-0.8118,0.9807,-0.951,0.5514,0.2159,0.5815,-0.6964,0.9082,-0.4132,-0.668,-0.3312,0.5436,0.1529,0.7846,0.9763,-0.2864,-0.8738,-0.0835,-0.912,-0.3738,0.99,-0.0948,-0.1792,0.4188,-0.1787,-0.7673,0.3743,-0.9773,-0.5848,-0.3062,0.2772,-0.019,-0.1021,0.7032,0.0798,0.8701,-0.2973,0.698,0.4227,-0.0664,0.3591,-0.0768,0.9421,0.6811,2008,12,1.36,2533
2.222510698,25,28.02308458,-82.45986789,21,1,1,-1,-1,-1,0,1,1,1,0,0,1,1,7,87,1391,0,0,0,0,0,0,0.16,0.16,0.04,3.1596,83.32,90.32,12.96,38.84,3.6,1.04,0.36,0.96,0,0,3.04,3.16,1.96,1.96,1.88,0.68,15.04,220625,724,760,405.9804182,21781128,8179696,1178595,1490922,1335143,1869297,1226903,529097,643953,8087696,1128931,1447062,1301207,1827117,1180663,504981,603521,0,3,4,56,278,1096,3,1,1,3,1,3,0,2,0,0,2,2,2,2,0,3,2,0,0,1,1,3,1,1,2,1,1,3,1,3,0,3,3,3,0,0,3,1,1,0,0,0,3,2,2,0,2,3,3,3,0,0,0,1,2,0,0,1,0,0,1,3,2,2,3,1,2,1,1,1,2,0,0,2,0,3,0,3,0,0.6211,-0.3696,0.7031,0.5736,0.3253,0.928,-0.2607,-0.8055,-0.5924,0.1372,-0.227,0.4624,0.5795,0.6932,-0.4706,-0.9094,0.609,-0.3356,0.5931,0.784,0.016,-0.0858,0.5516,0.8226,0.3947,-0.9558,0.2063,0.395,0.868,0.3664,0.8369,-0.6718,0.5609,-0.1047,0.2901,0.1079,-0.6403,-0.3916,0.9281,0.9647,-0.6424,0.3156,0.7026,0.9501,0.434,0.1202,-0.0942,0.4977,-0.0367,-0.0825,-0.7531,-0.7612,0.9013,0.016,0.2037,0.2356,-0.8118,0.9807,-0.951,0.5514,0.2159,0.5815,-0.6964,0.9082,-0.4132,-0.668,-0.3312,0.5436,0.1529,0.7846,0.9763,-0.2864,-0.8738,-0.0835,-0.912,-0.3738,0.99,-0.0948,-0.1792,0.4188,-0.1787,-0.7673,0.3743,-0.9773,-0.5848,-0.3062,0.2772,-0.019,-0.1021,0.7032,0.0798,0.8701,-0.2973,0.698,0.4227,-0.0664,0.3591,-0.0768,0.9421,0.6811,2007,1,2.357628713,2533
1.523809524,21,39.75104,-86.02912903,21,1,0,0,0,-1,0,1,0,0,0,0,1,0,7,94,1590,0,0,0,0,0,0,0.142857143,0.142857143,0.047619048,2.526190476,57.23809524,98.52380952,35.85714286,41.47619048,3,3.571428571,0.619047619,0.476190476,0.095238095,0.095238095,3.761904762,5.047619048,4.666666667,4.666666667,2.904761905,0.666666667,26.57142857,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,0,0,0,16,55,466,1,3,0,1,3,1,2,1,0,2,1,2,2,0,1,2,2,0,1,3,1,1,3,2,0,2,2,2,2,0,0,0,0,3,0,2,0,0,3,2,3,3,3,1,0,0,0,2,1,0,1,1,3,0,2,2,1,1,3,2,1,2,0,2,3,1,3,0,2,3,3,0,2,1,3,1,3,0,3,-0.7164,-0.624,-0.7872,0.4682,-0.0803,0.2949,-0.5219,-0.7884,-0.6208,-0.7495,0.0843,-0.6588,-0.1241,-0.2145,0.0471,-0.5288,-0.8612,-0.8544,-0.89,-0.1954,-0.1488,0.7156,-0.4313,0.5206,-0.0934,-0.1402,0.8208,-0.7989,0.641,0.1797,0.2493,-0.2106,-0.5846,-0.5557,0.0018,0.7987,0.9718,0.1438,0.9948,-0.6317,-0.8383,0.9376,0.0742,0.59,-0.3766,-0.3028,-0.0755,0.4799,-0.5445,-0.0725,0.0906,0.5466,-0.0689,-0.5419,0.2662,-0.7555,-0.351,0.8148,0.2237,-0.4323,0.8487,-0.0606,0.2463,0.1156,0.1313,-0.4564,-0.8788,0.1593,0.0039,-0.9627,-0.2248,-0.2788,-0.6078,-0.4466,0.3647,0.2797,-0.787,0.0074,0.3777,-0.2218,-0.2909,-0.7876,-0.4019,0.0133,0.4997,0.0948,0.5287,0.8158,-0.4397,0.2271,-0.7903,0.325,0.7558,-0.3343,0.0206,-0.919,-0.1115,0.9491,-0.9339,-0.4539,2005,10,0,2105
2.423358566,21,39.75104,-86.02912903,21,1,0,0,0,-1,0,1,0,0,0,0,1,0,7,94,1590,0,0,0,0,0,0,0.142857143,0.142857143,0.047619048,2.526190476,57.23809524,98.52380952,35.85714286,41.47619048,3,3.571428571,0.619047619,0.476190476,0.095238095,0.095238095,3.761904762,5.047619048,4.666666667,4.666666667,2.904761905,0.666666667,26.57142857,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,0,0,0,16,55,466,1,3,0,1,3,1,2,1,0,2,1,2,2,0,1,2,2,0,1,3,1,1,3,2,0,2,2,2,2,0,0,0,0,3,0,2,0,0,3,2,3,3,3,1,0,0,0,2,1,0,1,1,3,0,2,2,1,1,3,2,1,2,0,2,3,1,3,0,2,3,3,0,2,1,3,1,3,0,3,-0.7164,-0.624,-0.7872,0.4682,-0.0803,0.2949,-0.5219,-0.7884,-0.6208,-0.7495,0.0843,-0.6588,-0.1241,-0.2145,0.0471,-0.5288,-0.8612,-0.8544,-0.89,-0.1954,-0.1488,0.7156,-0.4313,0.5206,-0.0934,-0.1402,0.8208,-0.7989,0.641,0.1797,0.2493,-0.2106,-0.5846,-0.5557,0.0018,0.7987,0.9718,0.1438,0.9948,-0.6317,-0.8383,0.9376,0.0742,0.59,-0.3766,-0.3028,-0.0755,0.4799,-0.5445,-0.0725,0.0906,0.5466,-0.0689,-0.5419,0.2662,-0.7555,-0.351,0.8148,0.2237,-0.4323,0.8487,-0.0606,0.2463,0.1156,0.1313,-0.4564,-0.8788,0.1593,0.0039,-0.9627,-0.2248,-0.2788,-0.6078,-0.4466,0.3647,0.2797,-0.787,0.0074,0.3777,-0.2218,-0.2909,-0.7876,-0.4019,0.0133,0.4997,0.0948,0.5287,0.8158,-0.4397,0.2271,-0.7903,0.325,0.7558,-0.3343,0.0206,-0.919,-0.1115,0.9491,-0.9339,-0.4539,2019,3,1.523809524,2105
2.791353321,21,39.75104,-86.02912903,21,1,0,0,0,-1,0,1,0,0,0,0,1,0,7,94,1590,0,0,0,0,0,0,0.142857143,0.142857143,0.047619048,2.526190476,57.23809524,98.52380952,35.85714286,41.47619048,3,3.571428571,0.619047619,0.476190476,0.095238095,0.095238095,3.761904762,5.047619048,4.666666667,4.666666667,2.904761905,0.666666667,26.57142857,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,0,0,0,16,55,466,1,3,0,1,3,1,2,1,0,2,1,2,2,0,1,2,2,0,1,3,1,1,3,2,0,2,2,2,2,0,0,0,0,3,0,2,0,0,3,2,3,3,3,1,0,0,0,2,1,0,1,1,3,0,2,2,1,1,3,2,1,2,0,2,3,1,3,0,2,3,3,0,2,1,3,1,3,0,3,-0.7164,-0.624,-0.7872,0.4682,-0.0803,0.2949,-0.5219,-0.7884,-0.6208,-0.7495,0.0843,-0.6588,-0.1241,-0.2145,0.0471,-0.5288,-0.8612,-0.8544,-0.89,-0.1954,-0.1488,0.7156,-0.4313,0.5206,-0.0934,-0.1402,0.8208,-0.7989,0.641,0.1797,0.2493,-0.2106,-0.5846,-0.5557,0.0018,0.7987,0.9718,0.1438,0.9948,-0.6317,-0.8383,0.9376,0.0742,0.59,-0.3766,-0.3028,-0.0755,0.4799,-0.5445,-0.0725,0.0906,0.5466,-0.0689,-0.5419,0.2662,-0.7555,-0.351,0.8148,0.2237,-0.4323,0.8487,-0.0606,0.2463,0.1156,0.1313,-0.4564,-0.8788,0.1593,0.0039,-0.9627,-0.2248,-0.2788,-0.6078,-0.4466,0.3647,0.2797,-0.787,0.0074,0.3777,-0.2218,-0.2909,-0.7876,-0.4019,0.0133,0.4997,0.0948,0.5287,0.8158,-0.4397,0.2271,-0.7903,0.325,0.7558,-0.3343,0.0206,-0.919,-0.1115,0.9491,-0.9339,-0.4539,2016,10,2.423358566,2105
1.673469388,49,39.870249,-86.140767,47,1,1,-1,1,-1,1,1,1,1,0,0,1,1,7,133,2495,0,0,0,0,0,0,0.714285714,0.510204082,0.163265306,3.197959184,97.53061224,209.6530612,42.91836735,114.8979592,6.265306122,4.387755102,0.734693878,0.224489796,0.06122449,0.204081633,8.204081633,8.612244898,8.346938776,8.346938776,4.979591837,1.326530612,45.42857143,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,1,6,9,36,115,466,2,3,0,1,0,1,0,1,2,3,0,1,0,2,2,0,2,3,0,1,2,2,3,3,0,0,1,0,3,3,1,0,1,1,3,2,0,0,0,0,1,3,2,3,2,0,2,1,1,0,0,1,3,3,1,0,3,3,1,0,2,2,2,0,2,3,2,0,2,0,2,3,2,0,2,0,1,1,3,0.825,0.7118,-0.4618,0.6224,-0.8624,-0.2801,-0.4956,-0.1109,-0.2712,-0.8629,-0.6116,0.1973,-0.2468,-0.1077,-0.4082,-0.8008,0.5897,-0.8741,-0.6468,0.4305,0.6788,0.9039,-0.088,0.7811,-0.586,0.4377,0.7272,-0.8752,-0.4783,-0.0351,0.1169,0.1056,0.6597,-0.2941,0.2671,-0.3406,-0.5297,-0.4438,0.4552,-0.2452,-0.3894,0.015,-0.3277,0.0979,0.2157,0.7922,0.7187,-0.7649,-0.5182,0.22,0.6188,0.1035,-0.8171,0.3949,0.7728,0.0904,-0.2146,-0.0896,-0.5576,0.9673,-0.9258,0.5287,0.0998,0.6175,-0.6117,0.0011,-0.2798,0.9017,0.3573,-0.8369,-0.5095,-0.8705,0.3276,0.2037,0.8359,0.5695,-0.9332,-0.2736,0.7898,-0.1039,0.5027,-0.047,0.0681,-0.3776,-0.0455,-0.256,0.5904,-0.27,-0.0991,-0.2952,-0.3989,0.8075,0.3778,0.4616,-0.5268,-0.2885,-0.6354,0.5405,0.0099,0.8613,2020,8,0,2970
