weighted_rating,rate_user_num,latitude,longitude,review_count,price_level,HasTV,Caters,OutdoorSeating,WheelchairAccessible,BusinessParking,RestaurantsDelivery,GoodForKids,BikeParking,WiFi,Alcohol,RestaurantsTakeOut,BusinessAcceptsCreditCards,open_days,open_hours,num_rating,drink,food,inside,menu,outside,total,avg_review_useful,avg_review_funny,avg_review_cool,avg_stars,avg_review_count,avg_useful,avg_funny,avg_cool,avg_fans,avg_compliment_hot,avg_compliment_more,avg_compliment_profile,avg_compliment_cute,avg_compliment_list,avg_compliment_note,avg_compliment_plain,avg_compliment_cool,avg_compliment_funny,avg_compliment_writer,avg_compliment_photos,avg_total_compliment,PAYANN,PCHDAPR,PCHADVT,DENSITY_2021,POP_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min",less_100m,less_500m,less_1km,less_5km,less_10km,less_50km,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_36,v_37,v_38,v_39,v_40,v_41,v_42,v_43,v_44,v_45,v_46,v_47,v_48,v_49,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,v_60,v_61,v_62,v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_71,v_72,v_73,v_74,v_75,v_76,v_77,v_78,v_79,v_80,v_81,v_82,v_83,v_84,v_85,v_86,v_87,v_88,v_89,v_90,v_91,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99
4.570632911,282,39.7791327,-86.1645255,277,2,0,0,1,1,1,0,2,1,0,0,1,1,7,84,508,5,3,11,0,1,20,1.042553191,0.14893617,0.769503546,4.174361702,170.287234,451.4113475,102.358156,293.1985816,26.35815603,12.36524823,2.180851064,0.539007092,0.343971631,0.237588652,23.0141844,87.45035461,24.73758865,24.73758865,10.79078014,9.936170213,196.3333333,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,0,0,9,109,169,466,0,3,3,2,3,0,3,3,3,2,2,1,2,3,2,3,1,0,0,1,3,3,3,2,0,0,0,1,1,1,1,1,1,0,2,3,3,3,1,0,3,0,0,3,2,1,2,1,0,1,1,0,3,3,2,0,1,2,2,0,3,1,3,1,0,3,2,2,3,3,3,0,2,3,0,2,3,3,2,-0.6395,-0.3507,-0.5917,-0.2457,-0.6641,0.3771,-0.3115,0.7696,0.83,-0.5864,-0.6724,0.5267,0.2363,-0.1795,-0.5681,0.2689,0.3349,0.5913,0.0361,-0.9484,0.9918,0.2529,0.3827,0.8278,0.5089,-0.5747,0.7767,0.9424,0.919,0.1738,-0.5477,-0.7905,-0.4184,0.9676,-0.7071,0.2537,-0.5652,0.9173,-0.3561,-0.8098,-0.9208,-0.0311,0.0568,0.5608,0.0833,0.0233,0.9182,0.4072,-0.1687,0.4396,-0.665,-0.5444,0.8218,-0.0702,-0.0781,0.6033,0.7665,-0.5561,0.4641,-0.748,-0.4316,0.1741,0.2784,-0.1245,0.9467,0.2255,0.1011,-0.0894,-0.0144,-0.9987,-0.0576,-0.2016,0.186,0.005,-0.7216,0.9475,-0.6332,0.2849,0.5355,-0.6586,0.8297,-0.8447,0.896,0.9023,0.0875,0.8088,0.9426,0.2087,0.9034,-0.9234,0.53,-0.4433,-0.7679,-0.776,0.2975,-0.3935,0.1199,-0.1466,0.939,-0.2408
3.874120603,17,27.9963217,-82.3726623,17,1,2,0,1,0,1,1,2,1,0,0,1,1,7,168,381,0,0,0,0,0,0,2.764705882,1.294117647,1.941176471,3.225294118,1392.058824,13662.41176,7764.588235,11287.11765,116.8823529,504.2941176,51.76470588,49.11764706,10.52941176,13.58823529,309.3529412,777.5294118,735.8823529,735.8823529,464.0588235,208.8823529,3860.882353,220625,724,760,405.9804182,21781128,8179696,1178595,1490922,1335143,1869297,1226903,529097,643953,8087696,1128931,1447062,1301207,1827117,1180663,504981,603521,0,2,4,16,165,1090,2,2,2,2,3,1,0,3,0,0,2,3,3,1,3,2,3,0,0,0,3,3,1,0,0,0,0,1,2,0,2,2,0,2,1,3,2,2,1,3,0,3,0,1,1,2,3,2,2,0,3,3,3,0,3,1,1,2,2,1,1,0,1,1,3,2,3,1,1,2,1,3,1,3,1,0,0,2,1,-0.8933,-0.6148,0.2357,-0.7692,-0.1687,-0.1696,-0.2972,-0.6627,0.5745,0.0212,0.4083,-0.6656,0.8732,0.2593,0.6503,0.464,0.9917,0.4495,-0.3818,-0.834,-0.5201,0.9376,-0.1564,-0.2387,-0.6099,-0.9494,-0.3915,-0.6865,0.8845,-0.5152,0.8231,-0.9977,-0.9063,0.0275,-0.1688,0.9267,0.7593,-0.7257,0.1323,-0.8153,-0.1226,-0.8796,-0.0108,0.0361,-0.4109,-0.1249,0.0751,0.4958,0.8975,0.5444,0.7696,0.7914,-0.9936,0.3963,0.1015,0.2556,-0.567,0.5467,-0.5275,-0.3303,-0.4033,0.2662,0.9558,-0.203,-0.2254,-0.2622,-0.544,-0.0406,-0.1598,0.7526,0.722,-0.468,-0.7944,0.3485,-0.7069,-0.899,0.3078,0.8856,-0.4974,0.5253,0.7998,-0.1461,-0.7328,0.4991,0.7547,0.2696,0.4884,-0.7536,-0.4187,-0.8423,-0.6359,0.5777,0.8919,-0.8107,0.5456,-0.9088,0.069,0.4753,0.4612,0.3905
4.904761905,9,35.9087666,-86.8843908,9,1.39,2,0,2,1,0,0,2,2,0,0,1,1,7,71,33,0,0,0,0,0,0,1.111111111,0.222222222,0.444444444,3.573333333,29.88888889,30.55555556,7.222222222,6.111111111,1.111111111,0.333333333,0.333333333,0.333333333,0.111111111,0,0.333333333,1,0.222222222,0.222222222,0.444444444,0.111111111,3.444444444,169757,385,573,169.1679021,6975218,2725384,446805,523626,472527,642875,380161,151969,164149,2679596,418689,497034,452467,613879,358601,137773,144425,0,0,0,18,44,460,3,1,2,3,1,3,2,1,1,3,2,1,3,2,3,2,3,2,2,3,2,2,1,2,1,1,1,0,3,1,3,3,3,1,0,2,2,1,1,1,2,0,3,1,3,2,0,3,3,0,0,0,3,0,2,2,0,2,3,3,2,1,2,0,3,1,0,2,2,1,1,2,3,0,2,2,2,3,0,-0.073,0.2681,0.5052,-0.5331,0.0344,-0.5851,0.8017,0.0629,-0.6837,0.7593,0.9264,-0.1531,0.6466,-0.1034,0.6869,0.0935,0.5644,0.6553,0.5297,-0.6314,-0.7626,-0.196,-0.3118,0.2621,0.8198,-0.6639,-0.2963,-0.8826,0.2535,0.4644,-0.1739,0.9138,-0.7032,0.7817,0.8446,-0.0464,-0.5172,0.5426,-0.0516,-0.7292,0.9117,0.4029,-0.9405,0.3037,0.1582,0.2029,0.6997,0.3751,0.4628,0.068,0.762,-0.813,-0.9235,-0.8323,0.8198,0.9385,0.3465,0.3587,-0.6495,0.0637,0.1012,-0.6633,-0.2797,-0.461,-0.7615,-0.2185,-0.4262,0.2669,0.1877,0.925,-0.9536,0.4577,0.8432,-0.1807,-0.3634,-0.7166,0.4205,-0.5988,-0.0605,-0.0545,-0.1133,0.5034,0.3085,0.0046,0.5522,0.691,0.0623,0.5122,0.728,-0.9739,0.1618,-0.7591,-0.5114,0.5683,-0.241,-0.2633,0.5593,0.4181,0.9589,0.6725
4.489962825,105,39.93617041,-75.14694222,101,1,2,0,1,0,1,2,2,1,0,0,1,1,7,89,164,0,0,1,0,0,1,0.685714286,0.276190476,0.39047619,3.900285714,151.7714286,927.4952381,370.1142857,622.952381,38.96190476,60.91428571,6.419047619,7.057142857,6.876190476,3.428571429,47.06666667,162.1714286,80.97142857,80.97142857,24.65714286,20.32380952,500.8571429,1822884,6312,6105,289.7497855,12964056,5205086,719163,904889,819178,1215806,833259,368533,415162,5152090,690527,880297,794842,1181370,800327,349233,384590,0,10,70,621,809,2152,1,2,1,1,3,3,2,3,3,1,0,0,1,1,3,2,0,1,0,3,1,3,3,1,1,3,0,0,1,3,3,0,2,3,2,2,1,0,1,1,0,1,1,3,0,3,0,0,2,0,1,1,1,0,1,0,1,3,0,3,0,3,3,0,2,2,2,2,1,2,3,0,1,1,1,2,1,3,2,-0.5842,0.8647,-0.8149,0.1305,-0.5519,0.2923,-0.511,0.679,-0.0196,0.1666,0.7182,0.5997,-0.1865,-0.9258,-0.7836,-0.5559,-0.546,0.9987,0.5083,0.3587,-0.2523,-0.5223,-0.1007,-0.1991,-0.3424,0.6102,-0.7694,0.5802,-0.4261,0.3659,-0.5102,-0.6704,-0.777,0.7543,0.941,-0.7776,0.4104,0.2567,-0.8215,-0.5054,0.1262,-0.2812,-0.777,0.6236,0.9915,-0.8101,0.6958,0.4223,0.7701,-0.0652,-0.2002,-0.0638,-0.3884,-0.3173,0.6492,-0.6057,-0.7561,-0.4403,0.3954,-0.9506,0.7583,-0.3918,0.0484,-0.8862,-0.7744,0.2253,-0.2352,0.6846,0.8712,-0.5119,-0.2213,-0.4171,-0.8329,-0.6243,-0.8301,0.9694,0.0786,0.3807,0.7967,0.4434,0.7266,0.2961,0.8885,0.6191,0.9611,-0.2795,1,0.8674,0.9379,0.0147,0.2191,0.0121,-0.797,-0.5776,-0.5041,0.941,-0.6488,0.165,-0.6193,0.5974
4.122727273,11,39.95251226,-75.17174173,11,1.39,2,2,2,0,1,2,2,2,0,0,2,1,0,0,11,0,0,1,0,0,1,2.909090909,0.363636364,1.181818182,4.361818182,54.63636364,81.27272727,13.90909091,34.36363636,3.909090909,0.454545455,0.090909091,0.181818182,0.090909091,0,3.090909091,1.363636364,1.727272727,1.727272727,2.090909091,1.181818182,12,1822884,6312,6105,289.7497855,12964056,5205086,719163,904889,819178,1215806,833259,368533,415162,5152090,690527,880297,794842,1181370,800327,349233,384590,4,85,161,680,842,2184,3,2,3,1,2,0,3,2,0,1,1,2,3,2,3,3,0,1,0,3,2,1,3,2,1,0,0,3,3,0,0,2,2,2,3,1,0,2,3,2,0,2,1,2,1,3,0,1,0,0,3,1,2,0,2,2,2,0,0,1,3,2,1,3,2,1,3,1,2,0,2,2,3,0,0,0,3,1,2,0.4276,0.1412,0.3468,0.8276,-0.6159,-0.5453,0.2145,-0.307,-0.236,-0.1745,0.2772,-0.7196,-0.7721,0.7087,-0.1157,-0.9648,-0.504,-0.6026,0.1682,-0.9234,-0.8564,0.9919,0.1377,-0.8473,-0.3171,0.4031,0.5001,-0.9679,-0.4332,0.137,0.1412,-0.8406,0.4442,-0.0249,0.901,0.5658,-0.1624,-0.3145,0.1056,0.0438,0.4771,-0.9525,0.5065,-0.453,0.8975,-0.9721,0.1597,-0.0536,-0.8912,0.7489,-0.2199,-0.0574,-0.6238,0.7582,-0.7679,-0.3197,0.0857,0.2014,0.2701,0.2167,-0.9859,0.5393,-0.8413,-0.1149,0.5176,-0.6081,-0.7027,-0.2501,-0.0674,-0.4085,-0.2032,-0.0516,0.7312,-0.706,-0.0311,-0.4831,0.9129,-0.6382,-0.3168,0.4767,0.6484,0.1072,0.803,-0.7524,0.7483,0.7626,0.156,-0.9815,-0.1244,-0.3235,-0.0595,0.8224,0.7731,-0.3015,-0.124,0.8174,-0.1575,0.5289,-0.0681,0.1204
4.21488764,163,39.96207024,-75.14298577,159,1,2,0,0,0,1,0,2,1,0,0,1,1,7,56,193,0,1,8,0,0,9,1.325153374,0.552147239,0.748466258,3.82208589,166.2638037,1011.834356,488.7116564,763.6809816,28.60122699,45.06134969,4.852760736,4.042944785,3.914110429,2.36196319,30.2208589,72.07361963,67.60736196,67.60736196,21.52760736,32.76687117,352.0368098,1822884,6312,6105,289.7497855,12964056,5205086,719163,904889,819178,1215806,833259,368533,415162,5152090,690527,880297,794842,1181370,800327,349233,384590,0,14,36,640,838,2161,3,0,0,0,0,0,3,0,0,2,3,1,2,1,3,1,0,0,2,2,0,0,1,1,0,0,3,3,1,3,3,1,3,0,3,0,2,3,2,0,0,1,0,1,1,1,1,0,1,2,1,3,0,1,2,3,2,0,3,3,1,3,2,1,0,2,0,3,1,2,3,2,2,1,2,0,0,1,3,-0.4976,-0.3062,0.8957,-0.7475,-0.618,-0.1776,-0.8644,0.3955,0.1774,0.7191,-0.74,-0.5165,0.7401,0.8097,-0.1655,0.0427,-0.2917,0.8158,0.7234,-0.2341,0.5811,0.2107,0.6352,-0.8581,-0.0304,0.3812,0.5641,0.6044,-0.4858,-0.1772,-0.2524,-0.9447,-0.5619,-0.1837,-0.2184,0.3602,-0.0753,0.5098,0.9277,-0.7625,0.1374,-0.9898,-0.2329,-0.4888,0.0645,-0.7831,0.4918,0.17,-0.8603,-0.564,0.8683,0.6146,-0.6561,0.0363,-0.9059,0.5806,0.6622,-0.5187,-0.0406,0.5538,-0.7332,0.9221,-0.5108,0.8074,-0.976,-0.6967,-0.9397,0.9809,-0.7491,-0.8153,0.2318,0.8738,0.0288,0.0951,0.9209,-0.8126,-0.8289,-0.945,0.3871,-0.9173,0.4628,0.3588,-0.9289,-0.3586,-0.8834,0.7139,0.3229,-0.5537,-0.4506,-0.7853,-0.3349,-0.7951,-0.4041,0.947,0.656,0.4404,0.3809,0.9198,-0.2677,-0.2989
3.366745283,49,39.870249,-86.140767,47,1,1,0,1,0,1,1,1,1,0,0,1,1,7,133,2495,0,0,0,0,0,0,0.714285714,0.510204082,0.163265306,3.197959184,97.53061224,209.6530612,42.91836735,114.8979592,6.265306122,4.387755102,0.734693878,0.224489796,0.06122449,0.204081633,8.204081633,8.612244898,8.346938776,8.346938776,4.979591837,1.326530612,45.42857143,352862,700,627,189.973578,6805985,2665156,381548,494460,460615,654637,432464,146226,152000,2619020,354500,469972,439335,626433,407376,132766,131844,1,6,9,36,115,466,0,2,3,1,1,3,3,3,0,3,3,2,0,2,3,0,2,0,1,0,2,0,3,0,3,0,3,2,3,0,2,0,1,0,3,1,0,2,1,0,0,1,0,2,3,1,3,3,1,2,1,0,3,2,3,3,1,1,1,1,0,0,2,2,2,2,3,0,3,1,3,3,1,2,1,1,0,0,2,0.5505,0.1195,0.9074,-0.1768,0.4346,-0.9351,0.646,0.9224,-0.1583,-0.6428,0.1297,-0.7571,0.3064,0.5166,-0.5885,0.0591,0.0003,-0.0249,-0.5161,0.4689,-0.8463,0.8451,-0.8909,0.7239,0.8631,0.2137,0.5568,0.924,-0.6468,0.2516,0.5296,-0.5208,-0.7247,0.3641,-0.9727,-0.6259,0.4266,-0.1353,-0.8553,0.1447,0.4513,0.3422,0.6174,0.2426,-0.4797,-0.2268,0.7685,0.8908,-0.7916,-0.2722,-0.1402,0.0509,-0.3343,0.657,-0.5493,0.0217,-0.7796,0.9117,0.9175,-0.591,0.2272,-0.0859,0.9729,0.6913,0.667,-0.3714,-0.1393,0.698,-0.2728,0.0779,0.4909,-0.3968,-0.2878,-0.5472,0.0803,0.869,-0.4942,0.8216,-0.6404,0.8044,-0.9013,-0.0544,0.3992,-0.309,0.4819,0.8442,0.5366,0.0494,0.7899,-0.2483,-0.5362,-0.1748,0.4435,0.7868,-0.0541,-0.9502,0.7995,-0.5038,-0.0765,-0.7875
3.832781457,17,27.939727,-82.7296986,17,1,2,2,2,0,0,1,2,1,0,0,1,1,7,98,285,0,2,1,0,1,4,0.882352941,0.352941176,0.764705882,3.322941176,130.1176471,541.1176471,196.1176471,410.7058824,18.76470588,16,1.411764706,2.529411765,0.294117647,0.117647059,11.05882353,20.35294118,36.29411765,36.29411765,13.35294118,20.64705882,158.3529412,220625,724,760,405.9804182,21781128,8179696,1178595,1490922,1335143,1869297,1226903,529097,643953,8087696,1128931,1447062,1301207,1827117,1180663,504981,603521,0,1,1,34,126,1065,2,2,3,2,2,3,0,2,0,3,0,3,0,2,2,3,0,0,0,3,0,3,0,1,3,2,0,2,0,3,0,0,1,0,3,0,2,0,3,2,1,2,2,2,1,2,3,0,2,3,3,3,1,2,0,3,0,0,3,3,1,2,2,3,0,0,2,0,3,2,3,2,3,0,2,3,1,0,3,-0.644,0.2515,-0.597,-0.5671,0.7987,0.3396,0.7501,-0.7092,0.416,-0.1843,-0.9043,0.2714,-0.0307,0.8569,-0.0865,-0.828,-0.9175,-0.5933,0.0044,0.2351,0.3212,0.2819,0.0135,0.0447,-0.5663,0.495,0.2274,0.172,0.2904,-0.7552,0.7115,0.1352,0.7664,0.6386,-0.6759,-0.0441,0.036,-0.1116,0.8191,-0.2649,-0.6137,0.6963,0.6248,-0.6061,-0.3355,-0.3746,0.0424,0.3894,0.1013,-0.5968,0.829,-0.5681,0.5688,-0.5878,0.3288,0.5197,-0.2632,0.8866,0.3154,-0.2979,-0.605,0.0447,0.8649,0.4172,-0.9654,-0.5824,0.2217,0.6663,0.8722,-0.104,0.0746,-0.6985,0.0935,-0.9372,0.8329,0.1265,-0.0962,0.7653,0.7074,0.4599,0.8981,0.7257,0.1979,0.1365,0.9193,-0.9685,0.234,-0.399,-0.0315,0.5075,-0.4109,-0.7027,-0.0844,-0.4986,0.8451,0.3937,-0.3732,-0.1335,-0.8575,-0.1807
4.238850575,62,36.30660277,-86.60921188,61,2,1,2,1,0,1,1,1,0,0,0,1,1,7,77,373,0,3,1,0,0,4,0.806451613,0.258064516,0.290322581,3.896774194,57.01612903,62.06451613,17.16129032,30.53225806,2.758064516,0.967741935,1.064516129,0.258064516,0.048387097,0,1.983870968,2.290322581,3.177419355,3.177419355,1.580645161,1.016129032,15.56451613,169757,385,573,169.1679021,6975218,2725384,446805,523626,472527,642875,380161,151969,164149,2679596,418689,497034,452467,613879,358601,137773,144425,0,0,3,16,30,486,2,1,1,1,1,0,1,0,2,2,3,1,2,1,1,3,3,2,3,3,3,0,3,1,0,0,2,1,3,3,3,3,2,2,1,1,2,2,2,0,0,1,1,3,2,3,1,3,1,0,3,0,3,2,0,3,2,2,0,2,2,3,0,1,2,0,2,1,0,3,3,2,3,0,3,0,0,3,0,0.5512,0.3587,-0.2271,0.4791,-0.6651,-0.7811,0.1815,0.7036,-0.5904,0.0906,-0.0331,0.6865,-0.754,-0.1973,-0.3635,0.7895,0.9227,0.1673,-0.5431,-0.5184,0.7726,0.9843,-0.4338,0.3254,-0.2757,-0.3686,-0.9485,-0.2211,-0.7403,-0.6169,0.0282,-0.0312,-0.9499,0.572,0.609,-0.3141,0.9103,0.0905,0.5356,-0.0229,0.6532,-0.5969,0.2218,0.2384,0.7281,-0.4745,-0.2294,0.2321,0.2969,-0.3127,-0.718,-0.3335,0.1598,0.6954,0.1915,-0.9872,-0.8685,0.1511,0.8114,-0.9777,0.8568,0.4858,-0.6762,0.3,-0.5896,0.5832,-0.3023,0.1605,0.1774,0.999,-0.8409,-0.9348,-0.7853,0.3588,-0.0717,0.2498,-0.2057,0.798,-0.8444,-0.7416,0.7739,0.2208,0.5968,0.054,-0.2789,0.1308,0.2166,-0.3724,-0.7756,0.3869,-0.9164,-0.8192,0.6785,-0.4263,-0.371,-0.7555,0.3669,-0.4663,-0.1969,0.6464
4.014925373,6,39.68583666,-74.98842312,6,1,2,2,2,0,1,1,2,0,0,0,1,1,7,168,128,0,0,0,0,0,0,0,0,0,3.426666667,182.8333333,904.3333333,214.5,473.6666667,30,21.33333333,3,2.5,0.166666667,0,39.66666667,69.33333333,53.66666667,53.66666667,13.83333333,29.16666667,286.3333333,80473,1330,578,1260.029076,9267130,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098,0,2,2,6,23,1577,3,1,2,3,0,0,1,0,0,3,3,1,1,1,1,0,3,1,3,3,3,0,0,3,3,3,3,3,1,2,2,2,1,2,0,3,3,1,1,2,0,1,3,2,1,0,2,0,1,2,3,1,3,1,2,2,2,0,3,2,0,0,0,2,0,0,1,1,3,0,1,3,3,2,1,2,1,0,1,0.5133,-0.9249,-0.2491,-0.8229,-0.4005,0.5607,-0.934,0.1439,0.9022,0.5402,-0.4396,0.7213,-0.8284,0.1862,-0.5089,-0.539,-0.4602,0.6516,-0.075,-0.86,-0.8289,-0.6072,0.871,0.3031,0.4719,-0.3738,0.0106,0.8942,-0.037,-0.8594,0.9909,0.0141,-0.6815,-0.1624,-0.2566,0.0708,0.3974,-0.7009,0.6717,-0.1143,0.0485,0.5019,-0.4696,0.9778,-0.9058,-0.923,0.9822,-0.064,-0.9086,-0.4404,0.8984,0.9215,0.0651,-0.1976,0.4251,0.6398,-0.0932,0.5841,-0.1005,-0.0107,-0.8452,-0.7927,0.3949,0.8983,-0.0002,-0.2258,-0.2506,-0.5018,0.9344,-0.7819,0.1596,-0.0899,-0.0041,0.1274,-0.8226,-0.9061,0.7215,0.9079,0.2143,-0.1859,-0.4626,-0.2948,-0.7898,-0.7321,0.6959,-0.9432,-0.2511,-0.9112,0.3957,0.2049,0.2823,-0.4696,-0.4542,-0.2713,0.5195,0.8321,0.5532,-0.138,-0.0427,-0.8374
